Tipo_Delito;Provincia;Casos;Año
Aborto Y Tentativa;Azua;0;2019
Aborto Y Tentativa;Azua;0;2020
Aborto Y Tentativa;Azua;0;2022
Aborto Y Tentativa;Azua;0;2024
Aborto Y Tentativa;Azua;0;2023
Aborto Y Tentativa;Azua;0;2021
Aborto Y Tentativa;Bahoruco;0;2019
Aborto Y Tentativa;Bahoruco;0;2022
Aborto Y Tentativa;Bahoruco;0;2023
Aborto Y Tentativa;Bahoruco;0;2021
Aborto Y Tentativa;Bahoruco;0;2020
Aborto Y Tentativa;Bahoruco;0;2024
Aborto Y Tentativa;Barahona;0;2019
Aborto Y Tentativa;Barahona;0;2023
Aborto Y Tentativa;Barahona;0;2020
Aborto Y Tentativa;Barahona;0;2024
Aborto Y Tentativa;Barahona;0;2022
Aborto Y Tentativa;Barahona;0;2021
Aborto Y Tentativa;Constanza;0;2019
Aborto Y Tentativa;Constanza;0;2020
Aborto Y Tentativa;Constanza;1;2022
Aborto Y Tentativa;Constanza;0;2021
Aborto Y Tentativa;Constanza;0;2023
Aborto Y Tentativa;Constanza;0;2024
Aborto Y Tentativa;Dajabón;0;2019
Aborto Y Tentativa;Dajabón;0;2022
Aborto Y Tentativa;Dajabón;0;2023
Aborto Y Tentativa;Dajabón;0;2024
Aborto Y Tentativa;Dajabón;0;2020
Aborto Y Tentativa;Dajabón;0;2021
Aborto Y Tentativa;Distrito Nacional;0;2019
Aborto Y Tentativa;Distrito Nacional;0;2023
Aborto Y Tentativa;Distrito Nacional;1;2020
Aborto Y Tentativa;Distrito Nacional;2;2021
Aborto Y Tentativa;Distrito Nacional;0;2022
Aborto Y Tentativa;Distrito Nacional;0;2024
Aborto Y Tentativa;El Seibo;1;2019
Aborto Y Tentativa;El Seibo;0;2020
Aborto Y Tentativa;El Seibo;0;2022
Aborto Y Tentativa;El Seibo;0;2024
Aborto Y Tentativa;El Seibo;0;2023
Aborto Y Tentativa;El Seibo;0;2021
Aborto Y Tentativa;Elías Piña;0;2019
Aborto Y Tentativa;Elías Piña;0;2022
Aborto Y Tentativa;Elías Piña;0;2023
Aborto Y Tentativa;Elías Piña;0;2021
Aborto Y Tentativa;Elías Piña;0;2020
Aborto Y Tentativa;Elías Piña;0;2024
Aborto Y Tentativa;Espaillat;0;2019
Aborto Y Tentativa;Espaillat;0;2023
Aborto Y Tentativa;Espaillat;0;2020
Aborto Y Tentativa;Espaillat;1;2024
Aborto Y Tentativa;Espaillat;0;2022
Aborto Y Tentativa;Espaillat;0;2021
Aborto Y Tentativa;Hato Mayor;0;2019
Aborto Y Tentativa;Hato Mayor;0;2020
Aborto Y Tentativa;Hato Mayor;0;2022
Aborto Y Tentativa;Hato Mayor;0;2021
Aborto Y Tentativa;Hato Mayor;0;2023
Aborto Y Tentativa;Hato Mayor;0;2024
Aborto Y Tentativa;Hermanas Mirabal;0;2019
Aborto Y Tentativa;Hermanas Mirabal;0;2022
Aborto Y Tentativa;Hermanas Mirabal;0;2023
Aborto Y Tentativa;Hermanas Mirabal;0;2024
Aborto Y Tentativa;Hermanas Mirabal;0;2020
Aborto Y Tentativa;Hermanas Mirabal;0;2021
Aborto Y Tentativa;Independencia;0;2019
Aborto Y Tentativa;Independencia;0;2023
Aborto Y Tentativa;Independencia;0;2020
Aborto Y Tentativa;Independencia;0;2021
Aborto Y Tentativa;Independencia;0;2022
Aborto Y Tentativa;Independencia;0;2024
Aborto Y Tentativa;La Altagracia;0;2019
Aborto Y Tentativa;La Altagracia;0;2020
Aborto Y Tentativa;La Altagracia;0;2022
Aborto Y Tentativa;La Altagracia;0;2024
Aborto Y Tentativa;La Altagracia;0;2023
Aborto Y Tentativa;La Altagracia;0;2021
Aborto Y Tentativa;La Romana;0;2019
Aborto Y Tentativa;La Romana;0;2022
Aborto Y Tentativa;La Romana;0;2023
Aborto Y Tentativa;La Romana;1;2021
Aborto Y Tentativa;La Romana;0;2020
Aborto Y Tentativa;La Romana;0;2024
Aborto Y Tentativa;La Vega;0;2019
Aborto Y Tentativa;La Vega;0;2023
Aborto Y Tentativa;La Vega;0;2020
Aborto Y Tentativa;La Vega;0;2024
Aborto Y Tentativa;La Vega;0;2022
Aborto Y Tentativa;La Vega;0;2021
Aborto Y Tentativa;Las Matas De Farfán;0;2019
Aborto Y Tentativa;Las Matas De Farfán;0;2020
Aborto Y Tentativa;Las Matas De Farfán;0;2022
Aborto Y Tentativa;Las Matas De Farfán;0;2021
Aborto Y Tentativa;Las Matas De Farfán;0;2023
Aborto Y Tentativa;Las Matas De Farfán;0;2024
Aborto Y Tentativa;María Trinidad Sánchez;1;2019
Aborto Y Tentativa;María Trinidad Sánchez;0;2022
Aborto Y Tentativa;María Trinidad Sánchez;0;2023
Aborto Y Tentativa;María Trinidad Sánchez;0;2024
Aborto Y Tentativa;María Trinidad Sánchez;0;2020
Aborto Y Tentativa;María Trinidad Sánchez;0;2021
Aborto Y Tentativa;Monseñor Nouel;1;2019
Aborto Y Tentativa;Monseñor Nouel;0;2023
Aborto Y Tentativa;Monseñor Nouel;0;2020
Aborto Y Tentativa;Monseñor Nouel;0;2021
Aborto Y Tentativa;Monseñor Nouel;0;2022
Aborto Y Tentativa;Monseñor Nouel;0;2024
Aborto Y Tentativa;Monte Plata;0;2019
Aborto Y Tentativa;Monte Plata;0;2020
Aborto Y Tentativa;Monte Plata;0;2022
Aborto Y Tentativa;Monte Plata;0;2024
Aborto Y Tentativa;Monte Plata;0;2023
